titulo	imagen	imagen2	descripcion	grupoMuscular	tipoEntrenamiento	tipoNivel
Press Arnold	img/Arnold-press-1.svg	img/Arnold-press-2.svg	El Press Arnold es un ejercicio de levantamiento de pesas que se realiza con mancuernas y se enfoca en los hombros. Para hacerlo, siéntate en una banca con respaldo vertical y sostén una mancuerna en cada mano. Lleva las mancuernas a la altura de los hombros con las palmas de las manos mirando hacia el cuerpo. Luego, empuja las mancuernas hacia arriba y al mismo tiempo gira las muñecas para que las palmas de las manos miren hacia afuera. Mantén los brazos estirados por encima de la cabeza y luego baja lentamente las mancuernas de nuevo a la posición inicial.	Hombros	Musculacion	Intermedio
Elevaciones frontales con barra	img/Barbell-front-raises-1.svg	img/Barbell-front-raises-2.svg	Las elevaciones frontales con barra son un ejercicio de entrenamiento de fuerza que se enfoca en los músculos del hombro. Para hacer este ejercicio, debes pararte con los pies separados a la altura de los hombros, agarrar una barra con las palmas hacia abajo y levantarla frente a ti hasta que tus brazos queden paralelos al suelo. Luego, baja lentamente la barra y repite el movimiento durante varias repeticiones. Este ejercicio ayuda a desarrollar los músculos del hombro y puede ser realizado con diferentes variaciones, como el uso de mancuernas o la elevación lateral con mancuernas.	Hombros	Musculacion	Intermedio
Remos verticales con barra	img/Barbell-upright-rows-1.svg	img/Barbell-upright-rows-2.svg	Los remos verticales con barra son un ejercicio de entrenamiento de fuerza que trabaja principalmente los músculos de la espalda, los hombros y los brazos. Para realizar el ejercicio, se debe pararse con los pies separados al ancho de los hombros y agarrar una barra con las manos colocadas al ancho de los hombros y las palmas hacia abajo. Luego, se debe levantar la barra hacia el pecho, manteniendo los codos pegados al cuerpo y los hombros hacia abajo y hacia atrás. Al llegar al pecho, se debe sostener la posición por un momento antes de bajar lentamente la barra de nuevo a la posición inicial. Es importante mantener una buena postura durante todo el ejercicio para evitar lesiones y maximizar los beneficios del entrenamiento.	Hombros	Musculacion	Intermedio
Fondos en paralelas	img/Bench-dips-1.svg	img/Bench-dips-2.svg	Los fondos en paralelas son un ejercicio de entrenamiento de fuerza que se enfoca en los tríceps, los hombros y el pecho. Para realizar este ejercicio, se necesita una barra horizontal con dos soportes paralelos. De pie frente a la barra, se colocan las manos en los soportes paralelos con los dedos apuntando hacia adelante. El cuerpo se baja lentamente doblando los brazos y manteniendo los codos cerca del cuerpo hasta que los brazos estén paralelos al suelo o se siente una buena contracción en los tríceps. Luego se empuja el cuerpo hacia arriba para volver a la posición inicial. Los fondos en paralelas son un ejercicio avanzado y deben ser realizados con cuidado para evitar lesiones.	Triceps	Musculacion	Intermedio
Press de banca	img/Bench-press-1.svg	img/Bench-press-2.svg	El press banca es un ejercicio de levantamiento de pesas que se realiza acostado en un banco horizontal con una barra cargada. El objetivo del ejercicio es fortalecer los músculos del pecho, los hombros y los tríceps, y mejorar la resistencia y la fuerza. El levantamiento se realiza bajando la barra lentamente hacia el pecho y luego empujándola hacia arriba, extendiendo los brazos completamente. Es importante mantener los codos cerca del cuerpo y controlar el movimiento en todo momento para evitar lesiones. El press banca se puede realizar con diferentes variaciones, como con mancuernas, en un banco inclinado o declinado, o con una barra hexagonal, para trabajar diferentes áreas de los músculos del pecho y los hombros.	Pectorales	Musculacion	Principiante
Pullover	img/Bent-arm-pullover-1.svg	img/Bent-arm-pullover-2.svg	El pullover es un ejercicio que trabaja principalmente la musculatura de la espalda, el pecho y los tríceps. Para realizar este ejercicio, se debe acostar en un banco con la cabeza apoyada en él y los pies en el suelo. Luego, se sostiene una mancuerna con ambas manos y se lleva detrás de la cabeza, manteniendo los codos ligeramente flexionados. A continuación, se eleva la mancuerna hacia el techo, extendiendo los brazos y contrayendo los músculos del pecho y la espalda. Este movimiento debe hacerse lentamente y controlado, evitando el balanceo o movimientos bruscos. El pullover es un ejercicio muy efectivo para fortalecer la parte superior del cuerpo y mejorar la postura.	Espalda	Musculacion	Principiante
Curl de biceps martillo	img/Bicep-hammer-curl-1.svg	img/Bicep-hammer-curl-2.svg	El curl de bíceps martillo es un ejercicio de entrenamiento de fuerza para los bíceps que se realiza con mancuernas. Para comenzar, se sostiene una mancuerna en cada mano con las palmas enfrentadas entre sí y los brazos estirados a los lados del cuerpo. Luego, se flexionan los codos y se levantan las mancuernas hacia los hombros mientras se mantienen las palmas hacia adentro durante todo el movimiento. Al llegar a la parte superior del movimiento, se sostiene brevemente antes de bajar las mancuernas lentamente a la posición inicial. El curl de bíceps martillo se enfoca en los músculos del bíceps braquial, así como en los músculos del antebrazo.	Gemelos	Musculacion	Principiante
Curl de biceps	img/Biceps-curl-1.svg	img/Biceps-curl-2.svg	El curl de bíceps es un ejercicio de entrenamiento de fuerza que se enfoca en el desarrollo del músculo bíceps en la parte superior del brazo. Se realiza sosteniendo una barra con las manos, con las palmas hacia arriba y los codos cerca del cuerpo, y levantando la barra hacia los hombros, doblando los codos. A medida que se levanta la barra, los bíceps se contraen y se relajan cuando se baja lentamente la barra hacia la posición inicial. Este ejercicio se puede realizar en una variedad de configuraciones, como en un banco de predicador, con mancuernas o con una barra recta o EZ.	Biceps	Musculacion	Intermedio
Curl de biceps inverso	img/Biceps-curl-reverse-1.svg	img/Biceps-curl-reverse-2.svg	Los curls de bíceps reverso son un ejercicio de entrenamiento de fuerza para los músculos de los brazos, especialmente para el músculo braquial y el músculo braquiorradial. Se realiza con una barra o mancuernas con un agarre pronado, es decir, con las palmas de las manos mirando hacia arriba. En la posición inicial, los brazos están extendidos y las manos están en línea con los muslos. Luego, levanta la barra o las mancuernas hacia los hombros, manteniendo los codos pegados al cuerpo y los antebrazos en posición vertical. Luego, baja lentamente la barra o las mancuernas a la posición inicial. Este movimiento es excelente para trabajar la parte superior del antebrazo y los músculos extensores del antebrazo.	Biceps	Musculacion	Intermedio
Curl concentrado	img/Concentration-curls-1.svg	img/Concentration-curls-2.svg	El curl de bíceps concentrado es un ejercicio de aislamiento que se enfoca en trabajar los músculos del bíceps en la parte superior del brazo. Para realizarlo, se requiere sentarse en un banco y sostener una mancuerna con un agarre supino en el brazo que se va a trabajar. Luego, se coloca el codo en el interior del muslo y se extiende el brazo hacia abajo, de modo que la mancuerna quede debajo del cuerpo. Finalmente, se realiza la contracción del bíceps levantando la mancuerna hacia el hombro, manteniendo el codo fijo en su lugar y manteniendo la espalda recta en todo momento. Este ejercicio ayuda a desarrollar fuerza y tamaño en los músculos del bíceps y se puede realizar tanto en el gimnasio como en casa con una mancuerna.	Biceps	Musculacion	Principiante
